MSE,05,10,15
44.65,1.0,0.999992,0.991943
44.75,1.0,0.999992,0.99201
44.85,1.0,0.999992,0.992082
44.95,1.0,0.999992,0.992162
45.05,1.0,0.999992,0.992232
45.15,1.0,0.999993,0.992303
45.25,1.0,0.999993,0.992375
45.35,1.0,0.999993,0.992439
45.45,1.0,0.999993,0.992507
45.55,1.0,0.999993,0.99257
45.65,1.0,0.999993,0.992637
45.75,1.0,0.999993,0.992706
45.85,1.0,0.999993,0.992769
45.95,1.0,0.999993,0.992829
46.05,1.0,0.999993,0.992886
46.15,1.0,0.999993,0.992939
46.25,1.0,0.999993,0.993001
46.35,1.0,0.999993,0.993069
46.45,1.0,0.999993,0.993128
46.55,1.0,0.999993,0.993178
46.65,1.0,0.999993,0.993238
46.75,1.0,0.999993,0.993299
46.85,1.0,0.999993,0.993353
46.95,1.0,0.999993,0.993419
47.05,1.0,0.999994,0.99347
47.15,1.0,0.999994,0.99353
47.25,1.0,0.999994,0.993583
47.35,1.0,0.999994,0.993634
47.45,1.0,0.999994,0.993679
47.55,1.0,0.999994,0.993732
47.65,1.0,0.999994,0.99378
47.75,1.0,0.999994,0.993841
47.85,1.0,0.999994,0.993899
47.95,1.0,0.999994,0.993954
48.05,1.0,0.999994,0.994007
48.15,1.0,0.999994,0.994061
48.25,1.0,0.999994,0.994106
48.35,1.0,0.999994,0.994159
48.45,1.0,0.999994,0.994214
48.55,1.0,0.999994,0.994258
48.65,1.0,0.999994,0.994303
48.75,1.0,0.999995,0.994353
48.85,1.0,0.999995,0.994399
48.95,1.0,0.999995,0.994448
49.05,1.0,0.999995,0.994496
49.15,1.0,0.999995,0.994543
49.25,1.0,0.999995,0.994583
49.35,1.0,0.999995,0.994617
49.45,1.0,0.999995,0.994665
49.55,1.0,0.999995,0.994704
49.65,1.0,0.999996,0.994754
49.75,1.0,0.999996,0.994798
49.85,1.0,0.999996,0.994838
49.95,1.0,0.999996,0.994878
50.05,1.0,0.999997,0.994922
50.15,1.0,0.999997,0.994959
50.25,1.0,0.999997,0.995002
50.35,1.0,0.999997,0.995041
50.45,1.0,0.999997,0.995084
50.55,1.0,0.999997,0.995122
50.65,1.0,0.999997,0.995172
50.75,1.0,0.999997,0.99521
50.85,1.0,0.999997,0.99525
50.95,1.0,0.999997,0.995295
51.05,1.0,0.999997,0.995335
51.15,1.0,0.999997,0.995374
51.25,1.0,0.999997,0.99542
51.35,1.0,0.999997,0.995455
51.45,1.0,0.999997,0.995486
51.55,1.0,0.999998,0.995518
51.65,1.0,0.999998,0.995566
51.75,1.0,0.999998,0.995601
51.85,1.0,0.999998,0.995641
51.95,1.0,0.999998,0.995682
52.05,1.0,0.999998,0.995715
52.15,1.0,0.999998,0.995753
52.25,1.0,0.999998,0.995797
52.35,1.0,0.999998,0.995828
52.45,1.0,0.999998,0.99586
52.55,1.0,0.999998,0.995898
52.65,1.0,0.999998,0.995936
52.75,1.0,0.999999,0.995965
52.85,1.0,0.999999,0.996002
52.95,1.0,0.999999,0.996041
53.05,1.0,0.999999,0.996081
53.15,1.0,0.999999,0.996116
53.25,1.0,0.999999,0.996146
53.35,1.0,0.999999,0.996186
53.45,1.0,0.999999,0.996216
53.55,1.0,0.999999,0.996254
53.65,1.0,0.999999,0.996289
53.75,1.0,0.999999,0.99632
53.85,1.0,0.999999,0.996354
53.95,1.0,0.999999,0.996389
54.05,1.0,0.999999,0.996419
54.15,1.0,0.999999,0.996448
54.25,1.0,0.999999,0.996483
54.35,1.0,0.999999,0.996513
54.45,1.0,0.999999,0.996551
54.55,1.0,0.999999,0.996583
54.65,1.0,0.999999,0.996614
54.75,1.0,0.999999,0.996647
54.85,1.0,0.999999,0.996669
54.95,1.0,0.999999,0.996702
55.05,1.0,0.999999,0.996731
55.15,1.0,0.999999,0.996753
55.25,1.0,0.999999,0.996785
55.35,1.0,0.999999,0.996816
55.45,1.0,0.999999,0.996851
55.55,1.0,0.999999,0.996876
55.65,1.0,1.0,0.996904
55.75,1.0,1.0,0.996928
55.85,1.0,1.0,0.996958
55.95,1.0,1.0,0.996984
56.05,1.0,1.0,0.997007
56.15,1.0,1.0,0.997034
56.25,1.0,1.0,0.997056
56.35,1.0,1.0,0.997087
56.45,1.0,1.0,0.997111
56.55,1.0,1.0,0.997135
56.65,1.0,1.0,0.997158
56.75,1.0,1.0,0.99718
56.85,1.0,1.0,0.997206
56.95,1.0,1.0,0.997227
57.05,1.0,1.0,0.997257
57.15,1.0,1.0,0.997286
57.25,1.0,1.0,0.997316
57.35,1.0,1.0,0.997336
57.45,1.0,1.0,0.997361
57.55,1.0,1.0,0.997374
57.65,1.0,1.0,0.997391
57.75,1.0,1.0,0.997408
57.85,1.0,1.0,0.99743
57.95,1.0,1.0,0.997455
58.05,1.0,1.0,0.997479
58.15,1.0,1.0,0.9975
58.25,1.0,1.0,0.997521
58.35,1.0,1.0,0.997537
58.45,1.0,1.0,0.997565
58.55,1.0,1.0,0.997583
58.65,1.0,1.0,0.997609
58.75,1.0,1.0,0.997637
58.85,1.0,1.0,0.99766
58.95,1.0,1.0,0.997677
59.05,1.0,1.0,0.997696
59.15,1.0,1.0,0.99771
59.25,1.0,1.0,0.997736
59.35,1.0,1.0,0.997756
59.45,1.0,1.0,0.997771
59.55,1.0,1.0,0.99779
59.65,1.0,1.0,0.997808
59.75,1.0,1.0,0.997831
59.85,1.0,1.0,0.997851
59.95,1.0,1.0,0.997865
60.05,1.0,1.0,0.997885
60.15,1.0,1.0,0.997903
60.25,1.0,1.0,0.997921
60.35,1.0,1.0,0.99794
60.45,1.0,1.0,0.99796
60.55,1.0,1.0,0.997975
60.65,1.0,1.0,0.997992
60.75,1.0,1.0,0.998007
60.85,1.0,1.0,0.998024
60.95,1.0,1.0,0.998042
61.05,1.0,1.0,0.99806
61.15,1.0,1.0,0.998071
61.25,1.0,1.0,0.998085
61.35,1.0,1.0,0.998101
61.45,1.0,1.0,0.998113
61.55,1.0,1.0,0.998124
61.65,1.0,1.0,0.998144
61.75,1.0,1.0,0.998159
61.85,1.0,1.0,0.998173
61.95,1.0,1.0,0.998192
62.05,1.0,1.0,0.998212
62.15,1.0,1.0,0.998225
62.25,1.0,1.0,0.998238
62.35,1.0,1.0,0.998251
62.45,1.0,1.0,0.998261
62.55,1.0,1.0,0.998277
62.65,1.0,1.0,0.99829
62.75,1.0,1.0,0.998302
62.85,1.0,1.0,0.998319
62.95,1.0,1.0,0.998334
63.05,1.0,1.0,0.998351
63.15,1.0,1.0,0.998364
63.25,1.0,1.0,0.998376
63.35,1.0,1.0,0.99839
63.45,1.0,1.0,0.998404
63.55,1.0,1.0,0.998413
63.65,1.0,1.0,0.998423
63.75,1.0,1.0,0.998436
63.85,1.0,1.0,0.998451
63.95,1.0,1.0,0.998469
64.05,1.0,1.0,0.998481
64.15,1.0,1.0,0.998493
64.25,1.0,1.0,0.998504
64.35,1.0,1.0,0.998515
64.45,1.0,1.0,0.998528
64.55,1.0,1.0,0.998537
64.65,1.0,1.0,0.998548
64.75,1.0,1.0,0.998559
64.85,1.0,1.0,0.998568
64.95,1.0,1.0,0.998583
65.05,1.0,1.0,0.998594
65.15,1.0,1.0,0.998613
65.25,1.0,1.0,0.998625
65.35,1.0,1.0,0.998637
65.45,1.0,1.0,0.998647
65.55,1.0,1.0,0.998656
65.65,1.0,1.0,0.998664
65.75,1.0,1.0,0.998673
65.85,1.0,1.0,0.998683
65.95,1.0,1.0,0.998694
66.05,1.0,1.0,0.998706
66.15,1.0,1.0,0.99872
66.25,1.0,1.0,0.998732
66.35,1.0,1.0,0.998747
66.45,1.0,1.0,0.998758
66.55,1.0,1.0,0.998764
66.65,1.0,1.0,0.998774
66.75,1.0,1.0,0.998784
66.85,1.0,1.0,0.998796
66.95,1.0,1.0,0.998803
